あ
ああ<副>            那么;那样
あい[愛]            爱;爱情;友爱
あいかわらず        照旧;跟往常一样
あいさつ(する/自)   寒暄话;致词
あいじょう[愛情]    爱情
あいず[合図(する/自)] 信号
アイスクリーム      冰淇淋;冰糕
あいする[愛する/他] 爱
あいそのよい        和蔼可亲
あいだ[間]          中间;期间;关系
あいて[相手]        对象;对方
あいにく            不凑巧
あいま              空儿;间歇
あいまい(な)        不明确
アイロン            熨斗
あう[会う/自]       见面
あう[合う/自]       合适;一致
あえて              不得不
あお[青(い)]        青;蓝
あおじろい[青白い]  苍白
あか                污垢
あかい[赤(い)]      红;红色
あかじ[赤字]        赤字;入不敷出
あかちゃん[赤ちゃん] 婴幼儿
あかり[明かり]      亮儿;灯
あがる[上がる/自]   上;升
あかるい[明るい]    明亮
あかんぼう[赤ん坊]  婴儿
あき[秋]            秋天;秋季 
あきらか[明らか(な)] 明显
あきらめる/他       放弃;死心;断念
あきる[飽きる/自]   腻;够了;腻烦;厌倦
あきれる/自         吃惊;吓呆;发愣
あく[悪]            恶;坏
あく[開く/自]       开
あくしゅ[握手(する/自)] 握手
アクセント          重音;音调;强调
あくび              哈欠
あくま[悪魔]        魔鬼;恶魔
あくまで            坚决???; ???到底
あける[開ける/他]   打开
あげる［上げる/他］ 给;举;抬;扬
あご                下巴;颌;颚
あこがれる/自       仰慕;向往
あさ[朝]            早晨
あさい[浅い]        浅; 浅薄;短浅
あさごはん[朝御飯]  早饭;早点;早餐
あさって            后天
あさばん[朝晩]      早上和晚上;日夜
あさひ[朝日]        朝阳;旭日
あさめし[朝飯]      早饭
あざやか[(鮮やか(な)] 鲜艳;巧妙
あし[足]            脚;腿
あじ[味]            味道
あしあと[足跡]      脚印
あしおと[足音]      脚步声
あした              明天;明日
あしもと[足もと]    脚下
あじわう[味わう/他] 尝; 鉴赏;体验 
あす[明日]          明天;明日
あずかる[預かる/他] 收存;保管;照看
あずける[預ける/他] 存;托;委托;托付
あせ[汗]            汗水
あせる/自           着急;焦躁
あそこ              那里;那边
あそび[遊び]        游玩;娱乐
あそぶ[遊ぶ/自]     玩
あたえる[与える/他] 给;分配;使???蒙受
あたたかい[暖かい]  暖和;(饭菜)热
あたたまる[暖まる/自] 暖和;感到温暖
あたためる[暖める/他] 温;热
あたま[頭]          头;头脑;头发;首领
あたらしい[新しい]  新的;新鲜的
あたり[辺り]       周围;附近;上下左右
あたりまえ[当たり前(の)] 当然;应该
あたる[当たる/自]  碰上;中签;称心如意
あちこち            这儿那儿;到处
あちら              那里;那边
あちらこちら        这儿那儿;到处
あつい[厚い]        厚;深厚;优厚
あつい[暑?熱い]  (天气?温度)热;(滚)烫
あっか[悪化(する/自)]恶化
あつかう[扱う/他]   使用;对待
あつかましい[厚かましい] 厚脸皮;无耻
あっさり/自         清淡;坦率
あっち              那边;那里
あっぱく[圧迫(する/他)] 压迫
あつまり[集まり]    集会;会合
あつまる[集まる/自] 聚集
あつめる[集める/他] 收集;召集
あつらえる/他       订做
あつりょく[圧力]    压力
あて[宛]            (邮件)寄给???
あて[当て]          依靠;指望
あてな[あて名]      收件人姓名
あてる[当てる/他]   碰;铺;垫;猜;派
あと[跡]            印;迹
あと[後]        (空间)后面;(时间)后来
あな[穴]       孔;窟窿;眼儿;洞穴;亏空
アナウンサー        广播员
あなた              你;您
あに[兄]            哥哥
アニメ              动画片
あね[姉]            姐姐
あの                那个
アパート            公寓
あばれる[暴れる/自] 乱闹;荒唐
あびる[浴びる/他]   浇;淋;浴;照 
あぶない[危ない]    危险;靠不住
あぶら[油]          油
あぶらえ[油絵]      油画儿
あふれる/自         溢出;充满
あべこべ            颠倒
あまい[甘い]        甜;淡;宽大
あまえる[甘える/自] 撒娇;承蒙
あまぐ[雨具]        雨具
アマチュア          业余爱好者
あまど[雨戸]        木板套窗;防雨板
あまやかす[甘やかす/他]  娇生惯养;纵容;骄纵
あまり[余り]        剩余;太;不那么???
あまる[余る/自]     余;剩
あみ[網]            网
あみもの[編物]      毛线活儿;编织品
あむ[編む/他]       编织;织;编辑;安排
あめ[飴]            糖;糖果;糖块儿
あめ[雨]            雨
あめふり[雨降り]    下雨
あやしい[怪しい]    奇怪;可疑;靠不住
あやまち[過ち]      错误;过失
あやまり[誤り]      错误
あやまる[誤る/他]   弄错
あやまる[謝る/他]   道歉
あらあらしい        粗暴的;粗野的
あらい[荒い]        粗暴的;凶猛的
あらい[粗い]   粗大的;粗糙的;粗枝大叶
あらう[洗う/他]     洗
あらかじめ          预先
あらし[嵐]          狂风暴雨;狂飙
あらす[荒らす/他]   骚扰;偷盗
あらすじ            梗概
あらそい[争い]      争论;争执;纠纷
あらそう[争う/他]   争;斗;争夺
あらたまる[改まる/自]改; 改善;郑重其事
あらためて[改めて]  重新;再
あらためる[改める/他] 改正; 改善;查点
あらゆる            所有;一切
あらわす[現す/他] 表示;表现;表达;代表
あらわれる[現れる/自] 显露;显现
あり                蚂蚁
ありがたい          值得感谢的
ありがとう          谢谢
ありさま            样子;状态
ある/自             有;存在
ある[或]            某
あるいは            或者;とい或许
あるく[歩く/自]     走;步行
アルコール          酒精;乙醇
アルバイト          打工
アルバム            影集;纪念册;相册
あれ                那个;那时
あれ              (表示惊讶)哎呀;啊呀
あれる[荒れる/自]闹(天气);起波浪;荒芜
あわ[泡]            泡沫
あわせる[合わせる/他] 配合;调合;对照
あわてる[慌てる/自]着慌;着急;急急忙忙
あわれ[哀れ(な)] 悲惨;可怜; 怜悯;情趣
あん[案]            方案;计划;预想
あん                馅儿
あんがい[案外]      出乎意料
あんき[暗記(する/他)] 熟背;记住
アンケート          问卷调查
あんさつ[暗殺(する/他)] 暗杀
あんじ[暗示(する/他)] 暗示;示意
あんしん[安心(する/自)] 安心;放心
あんせい[安静]      安静
あんぜん[安全(な)]  安全;平安
あんてい[安定(する/自)] 安定;安稳
あんな              那样的
あんない[案内(する/他)] 向导;通知;方向图
あんなに            那样地;那么

い
い[胃]              胃
いい                好
いいあらわす[言い表す/他] 表达;说明 
いいえ              不;不是;没
いいかげん(な)      马虎;不认真
いいかた[言い方]    说法
いいだす[言い出す/他] 说出口
いいわけ[言い訳]    辩解;辩白 
いいん[委員]        委员
いいんかい[委員会]  委员会
いう[言う/自他]     说;讲;告诉
いえ[家]            房子;家 
いえで[家出(する/自)] 离家出走;出奔
いか[以下]          以下;以后
いか                墨鱼
いがい[以外]        以外;除了???以外
いがい[意外(な)]    意外;出乎意料
いかが              怎么样;如何
いがく[医学]        医学
いかり[怒り]        火气;愤怒
いき[息]            呼吸;气息
いき(ゆき)[行] (交通工具)开往;前往;去
いぎ[意義]          意义;价值
いきいきと          诩诩如生;生气勃勃
いきおい[勢い]      气势
いきなり            突然 
いきもの[生き物]    生物;动物
いきる[生きる/自]   活;生存
いく(ゆく)[行く/自] 去;走;赴
いくつ              多少;几个;几岁
いくど[幾度]        几次;几度
いくにち[幾日]      几天
いくぶん[幾分]      一点儿;一些;多少
いくら     (价钱等)多少;无论怎样???也
いけ[池]            池塘;水池
いけない            不许;不行;不好
いけばな[生け花]  插花;(日本花道)插花 
いけん[意見(する/自)] 意见;主意
いご[以後]          以后
いさましい[勇ましい] 英勇
いし[医師]          医生;大夫
いし[意志]          意志;意向
いし[石]            石头
いじ[維持(する/他)] 维持;保持
いしき[意識(する/他)] 意识;自觉
いじめる/他         欺负;虐待;折磨
いしゃ[医者]        医生;大夫
いじゅう[移住(する/自)] 移居;迁移
いしょう[衣裳]   (舞台上或典礼用)服装
いじょう[以上]      以上;不止
いじょう[異常(な)]  异常; 反常
いしょくじゅう[衣食住] 衣食住
いじわる[意地悪(な)] 捉弄;心眼坏
いす[椅子]          椅子
いずみ[泉]          泉水
いせい[異性]        异性
いぜん[以前]        以前;从前
いそがしい[忙しい]  忙;忙碌
いそぐ[急ぐ/他]     赶紧;赶快;加快
いた[板]            木板;板子
いたい[痛い]        疼;痛
いだい[偉大(な)]    伟大
いたす[致す/他]     (谦让语)做;办
いたずら          淘气;调皮;玩弄;胡搞
いただきます   (开始吃东西时)我就不客气(吃, 喝)了
いただく/他     (谦让语)领受;蒙…赐给
いたみ[痛み]        疼痛;损伤
いたむ[痛む/自]     疼痛;悲痛
いためる[炒める/他] 炒;煎;爆
いたわる/他         体贴;照顾;慰劳
いち[位置]          位置
いち[一]            一;第一;最好
いちいち[一々]      一个个;逐一
いちご              草莓
いちじ[一時]        临时;暂时
いちじるしい[著しい] 显著;明显; 异常
いちど[一度(に)]    一次;一遍;一下子
いちどう[一同]      大家;全体
いちば[市場]        市场
いちばん[一番]      第一;最好
いちぶ[一部]        一部分;一册;一套 
いちめん[一面(に)]  一面;一片
いちよう[一様(に)]  同样;一律
いつ                什么时候;何时
いつか          不知什么时候;总有一天
いつか[五日]        五日;五号;五天
いっしゅ[一種]      一种;某种
いっしゅう[一周(する/他)] 绕一圈
いっしゅん[一瞬]  一转眼;一刹那; 瞬间
いっしょ[一緒(に)]  一块儿;一起
いっしょう[一生]    一生;一辈子
いっしょうけんめい[一生懸命]   尽力;拼命
いっそ              宁可;索性;干脆
いったい[一体]      到底; 究竟 
いったん[一旦]      既然;暂时
いっち[一致(する/自)] 一致;符合
いつつ[五つ]        五;五个;五岁
いってい[一定(の)]  一定;规定
いつのまにか        不知不觉
いっぱい[一杯]    一杯;一碗;全部;充满
いっぱん[一般(の)]  一般
いっぽう[一方]    另一方面;且说;却说
いつまでも          永远
いつも              总是;经常
いと[意図]          意图
いと[糸]            线
いど[井戸]          水井
いどう[移動(する/自他)] 转移;移动
いとこ    堂兄弟;表兄弟;堂姐妹;表姐妹
いとなむ[営む/他]   经营
いない[以内]        之内;以内
いなか[田舎]        乡村;老家
いぬ[犬]            狗
いね[稲]            稻;稻子
いのち[命]          生命;寿命
いのり[祈り]        祈祷;祷告;祝愿
いのる[祈る/他]     祈祷;祷告;祝愿
いばる/自      摆架子;自高自大;呈威风
いはん[違反(する/自)] 违反;违犯 
いびき              打呼噜;鼾声
いふく[衣服]        衣服;衣裳
いま[今]            现在;当代;立刻
いま[居間]          起居室
いまごろ[今ごろ]    这会儿;现在
いまに[今に]        不久;早晩
いままで[今まで]    至今;到现在 
いみ[意味]          意思
いみん[移民]        移民
イメージ            形象;印象;表象
いも                薯类
いもうと[妹]        妹妹
いや                不
いや(な)           讨厌;不愿意;不喜欢 
いやいや            勉勉强强;不得已而
いやがる/他         嫌;讨厌;不愿意
いやしい            卑鄙无耻;下贱
イヤリング          耳环
いよいよ            愈加;终于
いよく[意欲]        热情;积极性
いらい[以来]        以来;以后
いらい[依頼(する/他)] 委托;依靠
いらっしゃいませ    (对客人打招呼)欢迎光临
いらっしゃる/自     (敬语)在;来;去
いりぐち[入り口]    入口;进口
いりょう[衣料]      衣服
いる[居る/自]       有;在;居住
いる[要る/自]       要;需要;必要
いるい[衣類]        衣用品;衣服
いれもの[入れ物]    容器
いれる[入れる/他]   搁;装进
いろ[色]            颜色
いろいろ[色々(な)]  各种各样;种种
いろんな            各种各样的
いわ[岩]            岩石;大石头
いわい[祝い]        祝贺;庆祝
いわう[祝う/他]     祝贺;庆祝
いわし              沙丁鱼
いわば              换句话说
インク              墨水 
いんさつ[印刷(する/他)] 印刷
いんしょう[印象]    印象
いんそつ[引率(する/他)] 带领;引导
インターネット      因特网
インフレ            通货膨胀
いんよう[引用(する/他)] 引用

う
ウイスキー          威士忌酒
うえ[上]         上面;(能力,地位等)高
ウエートレス        女服务员
うえき[植木]      栽种的树;盆栽的花木
うえる[植える/他]   栽种
うがい              漱口
うかがう/他         拜访;请教;听说
うかぶ[浮かぶ/自]   浮;漂
うかべる[浮かべる/他] 使???漂浮;使???浮现
うく[浮く/自]       浮;漂;心情动荡
うけつぐ[受け継ぐ/他] 继承
うけつけ[受付]     受理;挂号室;接待处
うけつける[受け付ける/他] 接受;受理
うけとり[受取]      收条;收据
うけとる[受け取る/他] 接;收;领
うけもち[受け持ち]  担任;主管人
うける[受ける/他]   受到;接受;接承
うごかす[動かす/他] 更动;移动;调动
うごき[動き]        动作;动向;活动
うごく[動く/自]     动
うさぎ              兔;兔子
うし[牛]            牛
うしなう[失う/他]   丢;失去;迷失
うしろ[後ろ]        背后
うすい[薄い]        薄;淡;浅
うすぐらい[薄暗い]  灰暗;阴森;发暗 
うすめる[薄める/他] 冲淡;冲稀
うそ                谎话
うた[歌]            歌;歌曲
うたう[歌う/自]     唱;唱歌;歌咏
うたがい[疑い]      怀疑;疑问 
うたがう[疑う/他]   怀疑;疑惑
うち[家]          房子;家庭;自己的家
うち[内]            内;中;里;之内
うちあける[打ちあける/他] 和盘托出
うちあわせ[打ち合わせ] 事先商量
うちがわ[内側]      里面
うちけし[打ち消し]  否认;否定
うちゅう[宇宙]      太空;宇宙 
うちわ              团扇
うつ[打?撃つ/他]   打;拍;敲;放枪;下棋
うっかり            疏忽;不慎;不留神
うつくしい[美しい]  好看;漂亮;美丽 
うつし[写し]        抄件;副本;抄本
うつす[移す/他]     移;搬;迁
うつす[写?映す/他] 抄;誊;摹;拍照;描写
うったえる[訴える/他] 控告;诉说;打动
うっとうしい        阴郁;沉闷;厌烦
うつむく/自         垂头;脸朝下
うつる[移る/自]  搬;迁;传染;薰上;染上 
うつる[写?映る/自] 拍照;照相;映照
うつわ              容器
うで[腕]            胳膊;手腕;腕力
うでどけい[腕時計]  手表
うでまえ[腕前]      本事;技能
うてん[雨天]        雨天
うどん              面条; 切面 
うなぎ              鳗鱼
うなずく/自         点头;首肯
うなる/自        哼哼;吼;啸;轰鸣;呻吟
うぬぼれ      沾沾自喜;自作聪明; 骄傲
うばう[奪う/他]     抢夺;剥夺
うま[馬]            马
うまい              好吃;巧妙;顺利
うまれ[生まれ]      出生;出生地;出身
うまれつき[生まれつき] 天生; 天赋 
うまれる[生まれる/自] 出生; 产生
うみ[海]            海
うむ[生む/他]       生;下;产
うめ[梅]            梅子;梅
うめぼし[梅干]      咸梅
うめる[埋める/他]   埋入;填满
うら[裏]            背面;(衣服)里子
うらおもて[裏表] 表面和里面;表里;里外
うらがえす[裏返す/他] 翻过来
うらぎる[裏切る/他] 背叛;违背
うらぐち[裏口]      后门;便门
うらみ[恨み]        仇恨;怨恨
うらやましい        羡慕;眼红
うりきれる[売り切れる/自] 售完;售罄;卖光了
うりだす[売り出す/他] 出售;上市
うりば[売り場]      出售处;柜台
うりもの[売り物]    出售的商品
うる[売る/他]       卖
うるさい            吵闹;使人心烦
うれしい            高兴;欢喜
うれる[売れる/自]   好卖;畅销
うろうろ            徘徊;转来转去
うわぎ[上着]        上衣; 外衣 
うわさ             风言风语;闲话;传言
うん[運]            运气;命运
うん<感>            (表示同意)啊;嗯
うんえい[運営(する/他)] 运营
うんちん[運賃]      远费;车费
うんてん[運転(する/他)] 驾驶;开动
うんてんしゅ[運転手] 驾驶员;司机
うんどう[運動(する/自)] 运动
うんどうかい[運動会] 运动会
うんどうじょう[運動場] 运动场;操场
うんぱん[運搬(する/他)]     搬运;运输;载运
うんめい[運命]      命运;天命

え
え[絵]              画儿
え[柄]              把儿
えいえん[永遠]      永远
えいが[映画]        电影
えいがかん[映画館]  电影院
えいきゅう[永久(に)] 永久;永远
えいきょう[影響(する/自)] 影响
えいぎょう[営業(する/他)] 营业
えいご[英語]        英语
えいせい[衛星]      卫星
えいせいてき[衛生的(な)] 卫生
えいぶん[英文]      英文;英美文学
えいゆう[英雄]      英雄
えいよう[栄養]      营养
ええ<感>            好吧;啊;嗯
えがお[笑顔]        笑脸;笑容
えがく[描く/他]     画;描;描绘;描写
えき[駅]            车站
えき[液]            汁液
えきいん[駅員]      站务员
えきたい[液体]      液体
えきまえ[駅前]      车站前
えさ                饵食;饲料
エスカレーター      自动扶梯
えだ[枝]            树枝;枝子
エチケット          礼仪;礼貌;礼节
エネルギー          能源;精力;气力
えのぐ[絵の具]      绘画颜料
えはがき[絵はがき]  美术明信片
えび                虾
えほん[絵本]        图画书
えらい[偉い]     伟大;了不起;(地位)高
えらぶ[選ぶ/他]     挑选;挑拣
えり[襟]            领子
える[得る/他]       得到;领会
エレベーター        电梯
えん[縁]            缘;缘分
えん[円]            圆圈儿;日币单位
えんかい[宴会]      宴会
えんかつ[円滑(に)]  顺利;圆满
えんがわ[縁側]      (面向院子的)走廊
えんがん[沿岸]      沿海;沿岸
えんき[延期(する/他)] 延期
えんぎ[演技]        表演;演技
えんげい[園芸]      园艺
えんげき[演劇]      戏剧;演剧
えんしゅつ[演出(する/他)]    导演;组织安排
えんじょ[援助(する/他)] 扶助;援助
エンジン            发动机;引擎
えんぜつ[演説(する/自)] 演说;演讲
えんそう[演奏(する/他)] 演奏
えんそく[遠足]      远足;郊游
えんちょう[延長(する/他)] 延长;继续
えんとつ[煙突]      烟囱;烟筒
えんぴつ[鉛筆]      铅笔
えんりょ[遠慮(する/他)]客气;辞让;顾

お
お[尾]              尾巴
お                (表示尊敬,谦逊冠词)
おい                侄子;外甥
おいかける[追いかける/他]赶;赶追  
おいこす[追い越す/他] 超过
おいしい            好吃;鲜鲜美
おいだす[追い出す/他] 赶走
おいつく[追いつく/自] 追上;赶上
おう[追う/他]       追;赶;撵;
おう[負う/他]       背;负
おうえん[応援(する/他)] 从旁助威;支援;声援
おうさま[王様]      国王
おうじる[応じる/自] 接受;答应
おうせつ[応接(する/自)] 接待
おうだん[横断(する/他)] 横渡;横穿
おうふく[往復(する/自)] 来回;往返
おうぼ[応募(する/自)] 应募;应征
おうよう[応用(する/他)] 应用
おえる[終える/他]   完成;结束
おおあめ[大雨]      大雨;暴雨
おおい[多い]        多
おおいそぎ[大急ぎ(で)] 紧急;火急
おおいに[大いに]    很;非常
おおきい[大きい]    大
おおく[多く(の)]    多数;多半 
おおげさ[大げさ(に)] 夸张;小题大做
おおごえ[大声(で)]  大声
おおぜい[大勢]      大批;许多人
おおどおり[大通り]  大街;大马路
オートバイ          摩托车
オーバー(な)        夸张
オーバー            大衣;外套
おおみず[大水]      洪水;大水
おか                陆地
おか[丘]            山冈;丘陵
おかあさん[お母さん](敬意称呼)妈妈
